Easting,Northing
501000,187700
501000,187800
501000,187900
501000,188000
501000,188100
501000,188200
501000,188300
501000,188400
501000,188500
501000,188600
501000,188700
501000,188800
501000,188900
501000,189000
501000,189100
501000,189200
501000,189300
501000,189400
501000,189500
501000,189600
501000,189700
501000,189800
501000,189900
501000,190000
501100,180100
501100,180200
501100,180300
501100,180400
501100,180500
501100,180600
501100,180700
501100,180800
501100,180900
501100,181000
501100,181100
501100,181200
501100,181300
501100,181400
501100,181500
501100,181600
501100,181700
501100,181800
501100,181900
501100,182000
501100,182100
501100,182200
501100,182300
501100,182400
501100,182500
501100,182600
501100,182700
501100,182800
501100,182900
501100,183000
501100,183100
501100,183200
501100,183300
501100,183400
501100,183500
501100,183600
501100,183700
501100,183800
501100,183900
501100,184000
501100,184100
501100,184200
501100,184300
501100,184400
501100,184500
501100,184600
501100,184700
501100,184800
501100,184900
501100,185000
501100,185100
501100,185200
501100,185300
501100,185400
501100,185500
501100,185600
501100,185700
501100,185800
501100,185900
501100,186000
501100,186100
501100,186200
501100,186300
501100,186400
501100,186500
501100,186600
501100,186700
501100,186800
501100,186900
501100,187000
501100,187100
501100,187200
501100,187300
501100,187400
501100,187500
501100,187600
501100,187700
501100,187800
501100,187900
501100,188000
501100,188100
501100,188200
501100,188300
501100,188400
501100,188500
501100,188600
501100,188700
501100,188800
501100,188900
501100,189000
501100,189100
501100,189200
501100,189300
501100,189400
501100,189500
501100,189600
501100,189700
501100,189800
501100,189900
501100,190000
501200,180100
501200,180200
501200,180300
501200,180400
501200,180500
501200,180600
501200,180700
501200,180800
501200,180900
501200,181000
501200,181100
501200,181200
501200,181300
501200,181400
501200,181500
501200,181600
501200,181700
501200,181800
501200,181900
501200,182000
501200,182100
501200,182200
501200,182300
501200,182400
501200,182500
501200,182600
501200,182700
501200,182800
501200,182900
501200,183000
501200,183100
501200,183200
501200,183300
501200,183400
501200,183500
501200,183600
501200,183700
501200,183800
501200,183900
501200,184000
501200,184100
501200,184200
501200,184300
501200,184400
501200,184500
501200,184600
501200,184700
501200,184800
501200,184900
501200,185000
501200,185100
501200,185200
501200,185300
501200,185400
501200,185500
501200,185600
501200,185700
501200,185800
501200,185900
501200,186000
501200,186100
501200,186200
501200,186300
501200,186400
501200,186500
501200,186600
501200,186700
501200,186800
501200,186900
501200,187000
501200,187100
501200,187200
501200,187300
501200,187400
501200,187500
501200,187600
501200,187700
501200,187800
501200,187900
501200,188000
501200,188100
501200,188200
501200,188300
501200,188400
501200,188500
501200,188600
501200,188700
501200,188800
501200,188900
501200,189000
501200,189100
501200,189200
501200,189300
501200,189400
501200,189500
501200,189600
501200,189700
501200,189800
501200,189900
501200,190000
501300,180100
501300,180200
501300,180300
501300,180400
501300,180500
501300,180600
501300,180700
501300,180800
501300,180900
501300,181000
501300,181100
501300,181200
501300,181300
501300,181400
501300,181500
501300,181600
501300,181700
501300,181800
501300,181900
501300,182000
501300,182100
501300,182200
501300,182300
501300,182400
501300,182500
501300,182600
501300,182700
501300,182800
501300,182900
501300,183000
501300,183100
501300,183200
501300,183300
501300,183400
501300,183500
501300,183600
501300,183700
501300,183800
501300,183900
501300,184000
501300,184100
501300,184200
501300,184300
501300,184400
501300,184500
501300,184600
501300,184700
501300,184800
501300,184900
501300,185000
501300,185100
501300,185200
501300,185300
501300,185400
501300,185500
501300,185600
501300,185700
501300,185800
501300,185900
501300,186000
501300,186100
501300,186200
501300,186300
501300,186400
501300,186500
501300,186600
501300,186700
501300,186800
501300,186900
501300,187000
501300,187100
501300,187200
501300,187300
501300,187400
501300,187500
501300,187600
501300,187700
501300,187800
501300,187900
501300,188000
501300,188100
501300,188200
501300,188300
501300,188400
501300,188500
501300,188600
501300,188700
501300,188800
501300,188900
501300,189000
501300,189100
501300,189200
501300,189300
501300,189400
501300,189500
501300,189600
501300,189700
501300,189800
501300,189900
501300,190000
501400,180100
501400,180200
501400,180300
501400,180400
501400,180500
501400,180600
501400,180700
501400,180800
501400,180900
501400,181000
501400,181100
501400,181200
501400,181300
501400,181400
501400,181500
501400,181600
501400,181700
501400,181800
501400,181900
501400,182000
501400,182100
501400,182200
501400,182300
501400,182400
501400,182500
501400,182600
501400,182700
501400,182800
501400,182900
501400,183000
501400,183100
501400,183200
501400,183300
501400,183400
501400,183500
501400,183600
501400,183700
501400,183800
501400,183900
501400,184000
501400,184100
501400,184200
501400,184300
501400,184400
501400,184500
501400,184600
501400,184700
501400,184800
501400,184900
501400,185000
501400,185100
501400,185200
501400,185300
501400,185400
501400,185500
501400,185600
501400,185700
501400,185800
501400,185900
501400,186000
501400,186100
501400,186200
501400,186300
501400,186400
501400,186500
501400,186600
501400,186700
501400,186800
501400,186900
501400,187000
501400,187100
501400,187200
501400,187300
501400,187400
501400,187500
501400,187600
501400,187700
501400,187800
501400,187900
501400,188000
501400,188100
501400,188200
501400,188300
501400,188400
501400,188500
501400,188600
501400,188700
501400,188800
501400,188900
501400,189000
501400,189100
501400,189200
501400,189300
501400,189400
501400,189500
501400,189600
501400,189700
501400,189800
501400,189900
501400,190000
501500,180100
501500,180200
501500,180300
501500,180400
501500,180500
501500,180600
501500,180700
501500,180800
501500,180900
501500,181000
501500,181100
501500,181200
501500,181300
501500,181400
501500,181500
501500,181600
501500,181700
501500,181800
501500,181900
501500,182000
501500,182100
501500,182200
501500,182300
501500,182400
501500,182500
501500,182600
501500,182700
501500,182800
501500,182900
501500,183000
501500,183100
501500,183200
501500,183300
501500,183400
501500,183500
501500,183600
501500,183700
501500,183800
501500,183900
501500,184000
501500,184100
501500,184200
501500,184300
501500,184400
501500,184500
501500,184600
501500,184700
501500,184800
501500,184900
501500,185000
501500,185100
501500,185200
501500,185300
501500,185400
501500,185500
501500,185600
501500,185700
501500,185800
501500,185900
501500,186000
501500,186100
501500,186200
501500,186300
501500,186400
501500,186500
501500,186600
501500,186700
501500,186800
501500,186900
501500,187000
501500,187100
501500,187200
501500,187300
501500,187400
501500,187500
501500,187600
501500,187700
501500,187800
501500,187900
501500,188000
501500,188100
501500,188200
501500,188300
501500,188400
501500,188500
501500,188600
501500,188700
501500,188800
501500,188900
501500,189000
501500,189100
501500,189200
501500,189300
501500,189400
501500,189500
501500,189600
501500,189700
501500,189800
501500,189900
501500,190000
501600,180100
501600,180200
501600,180300
501600,180400
501600,180500
501600,180600
501600,180700
501600,180800
501600,180900
501600,181000
501600,181100
501600,181200
501600,181300
501600,181400
501600,181500
501600,181600
501600,181700
501600,181800
501600,181900
501600,182000
501600,182100
501600,182200
501600,182300
501600,182400
501600,182500
501600,182600
501600,182700
501600,182800
501600,182900
501600,183000
501600,183100
501600,183200
501600,183300
501600,183400
501600,183500
501600,183600
501600,183700
501600,183800
501600,183900
501600,184000
501600,184100
501600,184200
501600,184300
501600,184400
501600,184500
501600,184600
