LRUniqueID,SalePrice,SaleDate,PCUnit,PropertyType,NewBuild,Freehold,Add1,Add2,Add3,Easting,Northing
{965B6D90-F606-95E4-E053-6C04A8C07729},299950,14/06/2019,UB8 2WA,F,Y,L,"RENNIE COURT, 10",FLAT 39,BRINDLEY PLACE,505385,181338
{965B6D90-F90D-95E4-E053-6C04A8C07729},660000,27/09/2019,UB4 8PD,D,N,F,123,,CHARVILLE LANE,508988,183225
{965B6D90-F38B-95E4-E053-6C04A8C07729},420500,11/10/2019,UB10 0EZ,S,N,F,64,,CLIFTON GARDENS,507648,183233
{965B6D90-F44F-95E4-E053-6C04A8C07729},265000,25/09/2019,UB8 3TW,F,N,L,1,,ROBINWOOD GROVE,506735,182400
{965B6D90-F5D5-95E4-E053-6C04A8C07729},288000,29/03/2019,HA4 6EQ,F,N,L,77A,,BEECHWOOD AVENUE,509716,186402
{9B361206-7F2C-1904-E053-6B04A8C0EEB5},365000,10/12/2019,UB10 0SL,T,N,F,29,,HEATH ROAD,508090,182304
{A2479555-2010-74C7-E053-6B04A8C0887D},505000,17/02/2020,SL3 6BH,S,N,F,39,,WITHYCROFT,500209,180969
{A2479555-1E22-74C7-E053-6B04A8C0887D},716000,30/01/2020,SL0 0DY,D,N,F,66,,SLOUGH ROAD,502974,183021
{5376B385-051F-34C1-E053-6B04A8C09FF6},150000,10/08/2015,UB4 0RW,F,N,L,902,FIRST AND SECOND FLOOR FLAT,UXBRIDGE ROAD,509820,181523
{5376B385-B302-34C1-E053-6B04A8C09FF6},688000,28/04/2017,HA4 8JX,S,N,F,6,,BRICKWALL LANE,509535,187197
{5376B385-B6A4-34C1-E053-6B04A8C09FF6},642500,23/06/2017,HA4 8AR,D,N,F,57,,EVELYN AVENUE,509997,188116
{5376B385-B6AB-34C1-E053-6B04A8C09FF6},335000,25/04/2017,UB10 0DT,T,N,F,2,,TANGLEWOOD CLOSE,507435,182491
{23B6165E-9D27-FCF4-E050-A8C0620577FA},578000,11/09/2015,UB8 3AB ,D,N,F,"CHARNWOOD, 38",,STATION ROAD,505733,182399
{7768BED7-CC41-4C07-941B-077822E5EEAE},320000,17/07/2015,HA4 7RA ,T,N,F,6,,LEAHOLME WAY,508035,188284
{2C7CCD97-174F-4E17-A71B-2B45FFDC2C1F},227500,30/03/2015,UB3 2LW ,T,N,F,130,,CHURCH ROAD,509811,180947
{61D8894E-20C5-3DE6-E053-6C04A8C01207},452500,02/11/2017,UB8 3PB,D,N,F,11,,PIELD HEATH AVENUE,507355,181977
{8CAC1317-E7A4-0253-E053-6B04A8C08E51},380000,31/05/2019,UB10 0YD,F,Y,L,"HESTON HOUSE, 2",FLAT 4,NUNNELEY CLOSE,506125,183626
{8F1B26BD-F33C-53DB-E053-6C04A8C03649},700000,12/07/2019,HA4 6DF,D,N,F,2,,WILLOW GROVE,509743,187021
{8CAC1317-E7B3-0253-E053-6B04A8C08E51},420000,11/06/2019,UB10 0EZ,S,N,F,26,,CLIFTON GARDENS,507648,183233
{54D8BA6C-F879-47E5-92C8-A5568A992652},285000,29/07/2015,UB7 8FD ,F,N,L,ZEUS COURT,30,FAIRFIELD ROAD,506106,180468
{DC6B9D69-120E-4264-8958-FBF5EE0CA8EA},377500,30/07/2015,SL0 9QR ,S,N,F,40,,LANGLEY PARK ROAD,502958,181127
{8336ADEB-94E4-4F71-97F9-04B608A6E8B7},374000,24/07/2015,UB10 0HQ,S,N,F,50,,WEALD ROAD,507221,183201
{23B6165D-E840-FCF4-E050-A8C0620577FA},375000,06/08/2015,SL3 6RP ,T,N,F,8,,AUGUST END,500172,181416
{23B6165D-E4C2-FCF4-E050-A8C0620577FA},260000,16/10/2015,SL0 0EX ,F,N,L,49,,SWALLOWDALE,502713,182772
{2AC10E4F-2B66-1AF6-E050-A8C063052BA1},154000,03/07/2015,SL0 9NQ ,F,N,L,DAWS COURT,9,HIGH STREET,503780,181215
{2F772747-2476-3534-E050-A8C0630513CD},347000,30/03/2016,UB8 3UA ,T,N,F,25,,ALDENHAM DRIVE,507614,182047
{31FB4C16-CE63-57B9-E050-A8C063053436},200000,17/03/2016,HA4 7JZ ,F,N,L,KINGS COLLEGE PAVILION,FLAT 2,KINGS COLLEGE ROAD,509565,188241
{31FB4C16-CB64-57B9-E050-A8C063053436},304000,29/03/2016,HA4 6EQ ,F,N,L,91A,,BEECHWOOD AVENUE,509716,186402
{31FB4C16-CEFF-57B9-E050-A8C063053436},245000,16/02/2016,UB10 0JB,F,N,L,14A,,HILLINGDON HILL,506353,182941
{31FB4C16-CBC2-57B9-E050-A8C063053436},175000,14/03/2016,UB4 8LJ ,T,N,F,87,,PORTLAND ROAD,509287,182609
{31FB4C16-CF5C-57B9-E050-A8C063053436},256500,29/03/2016,UB8 2LP ,T,N,F,135,,NEWCOURT,505333,181565
{31FB4C16-CF4D-57B9-E050-A8C063053436},250000,31/03/2016,UB3 2AZ ,F,N,L,80,,COMPTON ROAD,509464,180577
{8355F008-A2BC-55C5-E053-6B04A8C0D090},1040000,16/01/2019,UB9 6QS,T,N,F,1,,DOVECOTE MEWS,506022,189644
